,8,11,12,13,14,15,19,20,21,22,23,24,25,27,28,49,50,51,52,53,54,55,56,58,60,61,63,65,66,67,68,70,98,99,102,103,127,128,129,130,132,133,480,481,483,511,512,514,516,518,519,521,522,524,525,526,527,528,832,856,857,859,860,862,863,877,879,882,883,884,885,886,887,888,889,890,892,894,895,896,900,901,902,903,906,907,908,909,910,911,913,914,915,916,917,918,919,920,921,922,923,924,926,927,928,929,930,931,932,933,934,936,937,938,939,940,941,942,946,880,47,48,57,59,62,64,126,482,513,515,517,523,529,592,593,594,595,881,893,897,925,935,943
8,1129,22757,19156,36557,10586,12281,4,2861,40642,5,23407,112,1812,412,477,9,39,16,89,917,898,4238,80,149,101,170,78,36,41,95,50724,9548,8888,8327,14,21852,250,497,638,439,2003,37,2732,1209,5895,24238,15355,8808,11174,6430,4442,3539,17,530,933,1724,2428,28628,598,280,1148,1666,164,1461,8946,2507,1787,8063,2888,2623,197,267,1957,122,477,9562,314,598,738,11461,2985,840,324,1856,1376,892,891,878,3646,6581,6172,5823,1421,23371,8712,4408,1019,2591,11746,4196,6397,1539,716,55,607,6313,4288,6258,8253,67,413,168,164,3525,275,2940,35,1353,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18916,621,5203,21285,10902,19524,6,3281,14026,1,20901,267,2160,819,1393,4,17,6,74,323,347,2912,144,111,235,310,121,51,189,109,58862,2785,8058,7265,27,2486,353,238,207,322,1084,8,2781,1464,5656,439,500,1197,3066,3446,3234,1608,5,458,1077,1900,1579,14007,1496,614,1698,1755,186,1305,7083,4537,3509,7035,1909,1933,177,167,1006,120,369,6323,428,1248,1087,8480,1548,360,416,750,609,427,342,259,631,1594,5117,119,106,244,1292,499,171,441,1464,499,1181,298,187,20,207,2429,1686,1991,4936,34,128,84,65,2088,90,1437,24,1940,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15632,3199,394,13173,11969,31010,9,9539,7884,4,79811,691,8060,4432,8713,13,68,30,147,805,931,7281,814,1015,1282,1826,674,298,603,552,20019,1078,23685,37916,138,1131,2219,1825,688,2660,2307,20,4132,1138,6105,528,613,1459,4033,2986,2085,1760,4,325,795,1812,1226,16269,6729,3645,10669,4681,474,3405,25315,27501,3363,6505,1023,4029,122,221,1664,119,467,7738,4307,4221,5357,51635,1205,365,207,1064,909,587,359,384,1262,2885,4476,40,8,96,784,465,182,381,1091,487,1227,288,114,14,656,2456,2472,2996,3200,26,108,336,277,1884,26,1633,158,19033,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,52003,20313,14670,932,6751,18606,9,6350,15311,17,47293,539,6609,3555,9107,12,50,60,346,960,1046,5710,1070,967,2083,1771,837,263,225,901,9507,1008,23698,31382,250,718,2177,1962,1599,2456,2203,27,4735,2190,7792,333,445,1169,3601,7429,4729,3322,21,572,1680,3910,2461,22762,6839,6870,7634,4524,337,3898,27305,107434,3239,10103,2616,3962,329,421,4821,360,1231,10828,4379,3074,3853,44298,1964,846,649,1593,1142,515,472,262,1154,3171,2126,42,15,85,2519,1779,737,877,1848,568,1557,230,108,17,549,4562,3353,3589,8389,28,184,97,118,1885,36,2226,253,19999,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10877,11002,11598,6749,637,7545,9,3066,6758,12,22386,316,8638,2962,4142,9,25,39,273,867,767,3234,358,609,1359,966,511,194,348,422,1942,416,10636,23194,177,269,1589,1527,1261,2589,807,19,1271,511,2571,77,147,334,964,1995,790,1060,2,150,275,643,696,7127,6089,4721,4708,2664,607,2399,12833,89236,1577,2907,778,1221,71,253,2574,96,442,2847,3653,3134,2017,28223,492,184,55,582,259,117,100,89,259,695,1357,23,3,38,1523,1059,324,450,1076,405,711,108,54,10,111,981,594,995,2449,19,53,41,46,1122,15,398,239,17147,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11827,19271,31194,16317,8253,55,2,15,15242,1,2,2,0,1,3,1,0,0,2,15,12,58,1,0,3,3,0,0,2,3,844,878,17,8,0,275,4,6,9,6,60,0,1626,1211,3942,57,106,220,914,3218,1433,1454,7,307,537,1383,1246,8954,2,1,1,0,1,1,5,67287,2347,13839,2965,7451,1038,1166,6571,522,2229,11520,0,1,0,4,1031,262,224,509,55,40,41,52,149,408,3586,31,6,21,2433,1972,603,2061,4299,1578,2478,454,200,65,142,1080,685,1520,3507,63,321,207,266,3792,70,431,0,10,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9,5,11,18,32,1,66,7394,12,11,113931,907,18790,4726,9544,12,39,43,270,708,850,3750,369,612,1070,2031,585,358,424,418,0,0,27954,37792,171,0,3045,3566,934,2422,831,22,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,19,8082,6982,13941,4630,697,4125,15470,34,11,4,1,3,0,0,3,1,0,3,5253,5368,6647,28353,0,0,0,2,273,145,51,47,46,30,1,0,0,1,2,0,2,2,6,1,2,1,0,0,3,2,1,2,3,1,0,0,0,9,0,7,157,12176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2070,2359,7410,4185,2420,14,6310,629,3478,106,46886,1105,11347,1779,3634,8,31,41,189,236,411,2162,222,543,542,1022,320,252,128,178,219,229,18891,15869,106,56,962,1245,719,959,513,8,483,286,992,22,33,100,501,597,391,268,2,65,139,280,355,2042,4769,6918,5312,2959,439,2009,7719,27163,1275,1255,526,1104,71,396,2185,121,664,1586,3072,2284,1870,12313,228,45,32,76,134,308,39,25,54,118,1181,16,0,6,608,378,177,348,810,394,527,138,64,22,31,273,178,559,678,16,57,42,58,826,36,132,130,4713,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,38945,13351,11297,17187,7458,16306,5,5101,1762,5,16534,197,2000,669,913,14,63,39,271,1718,2100,10252,167,167,410,182,164,43,73,132,201636,25782,15316,7351,44,18823,558,952,824,804,5194,104,9546,6065,36838,45226,33135,14526,21907,41131,24469,14238,30,2650,5337,6517,5457,28804,839,690,1361,1940,282,1601,10146,4552,2255,9159,1800,2870,179,256,1993,198,553,5364,486,880,1034,9910,8652,1082,720,1405,3210,2636,1553,1589,8121,14920,4795,7224,795,23683,4848,2173,1276,4881,14294,6276,7346,1071,301,98,1378,7761,6462,15107,23647,65,393,223,246,3754,326,6066,42,3497,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,7,14,13,7,0,17,119,4,2808,21740,2351,48435,6206,16716,32,173,321,943,1081,2025,5781,580,1341,3322,3773,1300,407,383,1095,0,1,198,75241,496,1,4056,5415,2793,4353,2484,58,0,0,2,0,1,0,0,3,6,1,0,0,0,1,0,10,23236,122140,10622,7430,1975,5855,16737,52,4,9,0,3,0,0,3,1,1,9,27006,7563,7532,21960,3,0,0,6,572,322,116,75,219,231,2,0,0,1,0,1,0,0,2,0,3,12,0,0,5,16,12,13,4,0,0,0,0,6,0,110,308,9269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,46618,29657,92816,48963,30596,18,117067,58757,16520,23102,1591,2725,40718,15632,35793,62,268,453,3055,2744,4098,17119,1723,4130,5528,7812,2883,777,2659,2667,621,1166,164804,82709,1078,572,9341,11622,7545,11433,5770,123,2289,1383,4775,62,98,427,1286,3331,2374,1622,5,305,579,1943,2127,97832,36359,297292,44253,9211,1724,8759,38283,69731,14465,13145,2639,8551,662,1859,11421,841,3711,5913,46749,4174,7168,57964,1865,1443,259,4024,1213,1199,255,153,616,650,5541,79,19,32,3105,2248,775,1780,6195,2523,4677,905,262,75,152,1294,799,2146,4517,86,460,267,313,5446,61,411,689,29410,159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,416,677,2267,2522,1720,1,2927,4374,594,5784,6691,5513,3581,2497,4869,12,28,57,196,231,310,2262,133,282,475,600,576,93,90,308,37,48,17891,7647,155,9,771,772,619,794,378,6,53,40,190,2,10,23,37,137,70,64,0,13,17,34,26,666,2016,202408,11528,19768,3453,4782,17494,3676,669,581,98,313,19,86,664,38,202,173,11084,414,509,3625,21,18,12,29,114,162,27,17,24,50,148,12,4,9,344,65,26,96,346,134,202,66,16,5,9,27,26,72,165,5,13,10,36,572,1,16,75,4862,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1458,1449,6199,3814,6002,1,13912,8856,1291,34995,24719,428,385,9440,20216,20,87,121,887,1690,1640,6018,679,1039,2126,5693,1498,435,436,1061,21,81,32117,58716,293,110,4034,5855,3667,5400,2361,38,72,73,210,2,13,23,58,201,150,80,1,23,16,152,149,3135,19640,4139,3045,17901,1115,6787,18338,2059,2267,3218,462,1446,114,215,1324,71,394,781,30392,16556,11772,27877,97,98,107,298,605,548,116,61,102,201,250,6,2,1,301,242,83,108,618,165,453,81,46,3,25,88,53,239,267,2,35,18,31,458,4,69,333,12602,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,713,902,4375,3212,2877,1,4629,2363,630,7099,14809,367,9572,261,15468,125,427,549,3227,3772,6305,13312,22516,10162,10184,18039,3425,1933,1022,2142,19,44,20083,57540,7804,45,25259,36681,9964,12966,9022,247,48,33,107,3,8,17,25,101,69,81,0,6,25,40,110,2631,6345,1252,2792,6427,449,2517,32028,1600,1209,1552,313,1168,51,174,966,109,264,878,7483,3763,1838,10584,160,125,17,290,2006,2076,453,483,897,802,162,5,1,3,257,150,33,118,551,256,476,109,56,2,194,383,163,562,312,17,38,37,19,833,4,392,639,23898,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1148,1538,8751,9783,5539,1,10720,4800,1003,20282,39518,445,22544,15176,60,282,885,856,6968,10623,17786,45272,50690,29300,10827,38347,25508,4301,8289,6214,28,108,34019,182048,17923,79,37003,121814,39218,66015,21697,506,69,57,136,6,7,19,41,122,66,113,0,26,23,76,231,5632,44225,1130,5632,10423,885,6847,39522,3389,2301,3183,729,2108,178,464,2453,178,574,1304,8328,9228,3713,19770,392,265,74,554,7163,5940,1153,884,1449,1922,327,7,2,4,387,226,86,206,1098,976,1028,247,146,9,318,1200,475,1936,839,13,68,69,39,1407,6,958,1975,100368,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,26,9,19,12,5,0,18,9,33,34,58,2,27,139,234,51,10775,24880,45984,24799,13215,37763,9,20,57,54,67,45,22,64,0,3,53,440,15,1,130,162,382,264,557,2112430,8,3,10,0,1,4,0,3,4,4,0,1,2,6,7,114,107,12,24,21,1,25,172,5,1,4,0,2,1,1,4,1,4,43,24,39,19,230,8,5,6,13,106,42,14,10,57,70,3,0,0,2,4,1,1,2,8,7,10,0,0,0,16,54,10,45,11,0,0,0,0,5,0,18,18,802,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,130,34,110,119,66,2,51,27,79,190,215,1,98,433,955,16574,1218,29568,194002,64763,74958,93028,71,100,339,327,436,72,140,337,4,9,266,2029,96,8,653,905,1148,635,1813,1591034,16,20,48,0,3,6,9,99,29,18,0,14,15,41,30,981,394,20,54,132,18,56,823,49,9,11,5,13,0,0,22,0,4,14,64,76,37,1347,69,94,5,151,494,337,124,72,586,615,13,3,1,14,30,6,9,14,42,13,39,11,1,0,110,350,98,327,136,1,10,1,0,69,0,154,53,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,47,9,38,69,27,1,36,31,67,281,321,2,106,436,843,36458,36131,228,117629,65580,73769,31828,73,441,752,270,390,82,95,238,7,5,411,2084,140,2,1189,1765,2073,680,1461,2192161,26,26,49,3,3,3,52,69,38,25,1,5,20,36,7,201,587,18,44,71,5,93,1257,52,12,8,4,27,1,6,29,5,17,14,60,87,94,457,37,14,12,25,176,130,67,42,422,592,10,2,3,11,14,5,0,17,35,5,40,9,1,0,91,221,53,116,47,0,7,2,2,73,0,103,73,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,220,85,394,252,225,5,281,184,164,1270,1877,84,795,3102,7371,74218,201039,127247,677,69471,120462,132259,3340,5286,4876,1589,1640,225,933,1053,7,21,2625,9778,3670,60,5230,3721,1684,7727,5645,1399122,53,60,133,4,7,10,32,101,52,35,1,9,33,63,49,811,4760,94,597,800,67,545,5819,182,206,214,62,235,6,19,383,15,105,382,478,892,477,5987,148,50,22,178,695,522,304,218,2202,1870,27,3,3,16,44,39,11,20,127,76,80,12,12,1,268,495,123,400,183,7,54,9,3,156,1,302,198,9228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1319,299,828,928,767,5,861,338,1393,1681,3132,41,2082,8659,18863,57538,67324,70861,82155,154,16038,109640,8714,6712,5144,1757,3005,349,2669,642,25,89,4246,12861,13709,43,4672,4085,4324,14123,3136,601864,405,248,659,10,19,44,94,595,281,249,2,63,196,360,283,3984,5538,129,584,1534,140,1054,6468,494,174,465,158,305,14,79,323,15,60,313,821,1471,1195,3235,1068,554,128,658,7014,6566,2986,2583,18983,16971,121,28,12,58,366,537,61,158,956,383,497,205,189,4,1518,5578,976,4087,2020,11,60,98,13,1033,9,2502,136,4411,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1903,468,1044,1324,1179,14,1407,669,2502,3200,5070,56,2926,10766,28045,25218,86899,82505,142914,22435,391,69601,17655,14187,9406,2558,6920,957,4507,821,40,126,7602,15372,22724,102,8111,9247,10756,24473,3367,931694,815,402,1467,8,36,56,233,1096,551,578,0,138,400,596,626,5638,9664,203,1294,2249,144,2025,13201,1315,368,991,1028,986,40,135,816,47,149,481,1007,4610,3549,3634,1604,756,165,657,8239,6196,2384,3004,30991,23703,267,20,10,187,504,662,167,296,1341,649,970,272,145,1,2227,8576,1394,7032,3037,18,175,81,23,1468,79,3441,122,1334,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5176,2005,5247,3986,2872,21,2833,1843,5127,5074,11828,89,3892,11374,38214,37345,52807,17516,81547,74067,48338,150,47356,21008,13528,2036,874,109,67,108,75,221,20979,13651,28897,252,9781,15199,7947,34119,6113,926451,971,1056,2118,45,83,197,477,2125,896,972,23,353,684,1646,1258,38541,13993,447,2714,2664,246,1702,87683,4686,750,1062,333,1733,43,352,1401,81,369,1747,2700,1408,587,1694,3263,1737,656,3071,5224,4302,2417,3354,39966,24810,442,84,23,678,892,1219,315,580,5078,1613,2361,1977,1982,36,2522,12108,2123,15496,4873,91,1291,392,138,21663,38,4911,31,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1064,225,1468,1123,443,1,580,221,146,707,2320,15,1155,21769,63403,28,89,244,4615,7980,14577,73623,1405,25,35,363185,419543,52744,123169,174910,14,22,2486,33651,85,15,157252,63972,27527,56271,6859,243,16,14,59,8,4,5,22,44,18,89,2,21,14,133,514,18260,7659,81,844,1758,52,466,30676,224,91,254,47,186,35,60,214,9,127,609,671,2157,880,7942,528,608,245,704,1805,674,204,107,209,281,65,0,1,1,70,28,30,29,261,247,159,90,195,1,302,582,116,465,275,6,84,26,5,5046,1,196,29256,1278939,1,0,0,0,851420,1299937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,303,130,932,781,556,0,565,461,141,1473,3043,38,1080,11474,38932,32,129,645,5580,6264,10387,33826,11,52,9,131812,205614,21726,47279,31389,5,10,2931,26647,13,14,39171,23036,17722,19623,8909,84,13,11,35,2,2,7,15,33,12,22,1,4,7,29,71,1955,8265,71,671,858,70,679,5802,354,105,194,29,128,20,31,355,12,62,231,747,1539,509,4695,74,72,20,229,1567,713,169,92,173,223,55,0,0,1,39,16,10,44,112,91,69,35,14,1,53,190,69,282,138,2,28,3,23,278,0,91,8726,185398,0,0,0,0,0,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,258,84,428,1018,673,2,494,307,232,2171,2533,19,1080,8908,11084,101,488,986,6602,5966,9113,22780,22,8,45,57330,147791,149581,46495,64060,5,14,3046,25325,4,2,7083,36269,16197,6427,14133,185,31,44,80,2,4,5,12,153,47,77,1,16,35,132,95,1771,6956,114,538,614,77,343,3789,565,134,184,51,187,7,93,510,23,132,103,996,822,489,3206,145,121,36,328,2829,1986,405,284,444,781,10,3,0,0,21,33,8,41,310,81,177,39,21,1,141,474,154,665,271,5,5,11,7,168,0,411,24728,175317,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,264,401,1515,1469,930,2,1582,974,221,4043,6959,93,5449,18760,36050,106,263,249,1467,1563,1853,2602,301289,114033,38465,25,6,0,1,1,3,46,7038,24887,250656,3,3318,10239,4021,3332,2917,150,59,14,73,3,1,6,15,62,41,52,0,7,33,61,76,1419,13355,168,1038,1685,179,918,7489,586,580,594,162,466,42,270,521,41,93,252,1711,1349,427,3538,132,147,23,217,847,837,907,213,422,550,43,1,1,1,64,50,28,51,235,61,208,37,14,1,124,467,189,610,229,8,17,9,2,207,0,272,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,194,177,826,706,579,0,698,382,154,1639,2796,52,1620,3274,21847,79,434,402,1382,1233,1594,949,380677,198838,128698,4,20,0,0,2,4,14,4098,6214,113017,3,14320,12675,5768,7115,2753,153,14,15,71,1,2,4,9,64,54,43,0,9,14,77,112,1167,8894,112,523,894,85,626,3248,471,173,340,70,182,20,37,218,16,55,79,937,567,130,1062,187,95,26,93,1464,1870,230,246,531,1107,23,3,2,0,28,15,16,27,89,51,86,38,10,0,213,537,112,508,215,2,18,13,6,201,0,226,0,5,4,0,0,0,0,0,6540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,52,48,223,297,215,0,430,249,31,447,952,18,511,1644,3781,19,51,82,198,225,303,144,58377,21974,115260,2,0,1,0,2,0,1,953,1928,32538,0,11757,1982,684,3072,690,28,1,3,9,0,0,1,3,10,6,7,0,2,3,7,23,231,2159,20,154,253,44,100,921,78,82,136,110,75,4,4,58,9,19,32,184,171,43,314,25,18,2,32,189,256,54,79,133,184,7,0,0,1,17,3,1,13,25,11,25,10,2,0,31,122,24,120,30,2,4,1,0,53,0,49,0,1,1,0,0,0,0,0,6513,2179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,58,50,586,188,331,0,264,162,44,371,1946,17,281,865,5310,27,112,55,617,318,1391,104,104090,35506,34566,0,1,2,0,0,1,3,2380,1182,60766,19,5155,2564,1580,2607,1926,38,10,8,16,0,0,0,2,15,11,12,0,3,1,20,21,292,2462,31,123,304,45,89,1057,113,165,120,94,65,8,14,75,8,26,26,156,287,40,137,41,13,6,33,827,462,96,212,176,238,9,0,13,2,16,14,6,5,45,36,19,18,3,0,49,118,40,239,68,1,4,1,0,108,0,53,0,1,0,0,0,0,0,0,20543,4553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,273,195,2130,1984,648,0,644,330,160,2213,4616,90,1425,3066,10187,64,367,290,1402,646,568,148,242690,39292,71410,2,3,3,2,21,7,19,5794,4274,73581,18,5931,3972,3451,3389,1907,167,41,44,58,1,2,10,16,64,21,36,1,11,28,30,58,1023,4959,155,735,673,77,392,4557,534,202,426,126,307,19,49,435,12,46,119,708,444,122,545,114,80,18,144,438,557,127,157,401,664,30,2,0,0,46,22,13,34,296,63,109,116,21,0,100,326,104,841,152,3,13,10,4,416,1,215,1,4,3,0,0,0,0,0,22377,25907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,69209,80547,55816,15511,2342,856,1,408,320629,0,851,7,91,57,64,0,5,4,8,40,62,376,35,21,48,19,13,2,6,17,2230,2535926,974,448,7,1994912,26,25,14,42,237,6,1612,2641,14842,170,226,176,465,12806,9524,5283,12,1348,2025,3737,2089,11520,56,87,64,61,13,57,531,281,215,366,64,145,21,29,227,14,84,186,41,35,52,621,2918,663,545,362,82,80,63,35,154,339,733970,97335,202900,284700,719317,160487,102923,377839,1032296,277286,751496,79622,34794,7505,285,1116,1234,4520,6621,7850,41171,20948,30540,423672,125427,350,2,353,18498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
